,Q1.Pre,Q1.Post,Q2.Pre,Q2.Post,Q3.Pre,Q3.Post,Q4.Pre,Q4.Post,Q5.Pre,Q5.Post
1,4,5,4,5,3,5,4,5,4,5
2,4,5,4,5,3,5,5,5,4,5
3,2,5,2,5,2,5,3,5,3,5
4,3,4,4,4,3,4,4,4,3,4
5,4,5,4,5,4,5,4,5,4,5
6,4,5,5,5,5,5,5,5,3,5
7,3,5,4,5,3,5,3,5,3,5
8,3,4,3,5,2,4,3,5,3,5
9,5,5,5,5,5,5,5,5,5,5
10,5,5,5,5,5,5,5,5,5,5
11,4,5,3,4,3,4,3,4,3,5
12,5,5,3,5,1,5,4,5,3,5
13,3,4,3,4,1,4,4,4,3,4
14,2,4,2,4,1,3,3,4,1,4
15,3,5,3,4,2,3,3,4,2,4
16,5,5,5,5,5,5,5,5,5,5
17,3,5,3,5,5,5,5,5,4,5
18,4,5,4,5,3,5,4,5,4,5
19,1,3,3,4,1,4,3,4,1,4
20,3,5,3,4,2,4,5,5,2,5
21,5,5,5,5,4,5,5,5,5,5
22,2,4,3,5,2,5,5,5,3,5
23,5,5,5,5,2,5,3,3,3,5
24,4,5,4,5,3,5,4,5,3,5
25,2,5,2,4,1,5,1,5,1,3
26,4,4,3,5,4,5,5,5,5,5
27,3,4,4,5,3,5,5,5,3,5
28,3,4,3,4,3,4,3,4,3,4
29,5,5,2,4,2,4,4,5,3,5
30,3,5,3,5,2,5,4,5,4,5
31,3,5,3,5,3,5,3,5,3,5
32,2,2,1,4,1,4,4,4,3,5
33,4,4,2,5,2,5,4,4,3,5
34,1,4,2,5,2,5,2,5,2,5
35,4,5,4,5,4,5,4,5,2,5
36,3,4,3,4,2,4,3,4,3,4
37,4,5,3,5,3,5,5,5,5,5
38,4,4,4,5,4,4,3,4,4,4
39,4,5,4,5,4,5,5,5,4,5
40,3,5,3,5,3,5,3,5,3,5
41,2,2,1,4,1,4,4,4,3,5
42,4,4,2,5,2,5,4,4,3,5
43,1,4,2,5,2,5,2,5,2,5
44,5,5,5,5,5,5,5,5,5,5
