State,Facility ID,County Name,FIPS
AL,010001,HOUSTON,01069
AL,010005,MARSHALL,01095
AL,010006,LAUDERDALE,01077
AL,010007,COVINGTON,01039
AL,010008,CRENSHAW,01041
AL,010011,JEFFERSON,01073
AL,010012,DE KALB,01049
AL,010016,SHELBY,01117
AL,010018,JEFFERSON,01073
AL,010019,COLBERT,01033
AL,010021,DALE,01045
AL,010022,CHEROKEE,01019
AL,010023,MONTGOMERY,01101
AL,010024,MONTGOMERY,01101
AL,010029,LEE,01081
AL,010033,JEFFERSON,01073
AL,010034,ELMORE,01051
AL,010035,CULLMAN,01043
AL,010036,COVINGTON,01039
AL,010038,CALHOUN,01015
AL,010039,MADISON,01089
AL,010040,ETOWAH,01055
AL,010044,MARION,01093
AL,010045,FAYETTE,01057
AL,010046,ETOWAH,01055
AL,010049,COFFEE,01031
AL,010051,GREENE,01063
AL,010052,TALLAPOOSA,01123
AL,010055,HOUSTON,01069
AL,010056,JEFFERSON,01073
AL,010058,BIBB,01007
AL,010059,LAWRENCE,01079
AL,010061,JACKSON,01071
AL,010062,GENEVA,01061
AL,010065,TALLAPOOSA,01123
AL,010069,BARBOUR,01005
AL,010073,CLAY,01027
AL,010078,CALHOUN,01015
AL,010079,LIMESTONE,01083
AL,010083,BALDWIN,01003
AL,010085,MORGAN,01103
AL,010086,FAYETTE,01057
AL,010087,MOBILE,01097
AL,010089,WALKER,01127
AL,010090,MOBILE,01097
AL,010091,CLARKE,01025
AL,010092,TUSCALOOSA,01125
AL,010095,HALE,01065
AL,010097,ELMORE,01051
AL,010099,ESCAMBIA,01053
AL,010100,BALDWIN,01003
AL,010101,TALLADEGA,01121
AL,010102,WILCOX,01131
AL,010103,JEFFERSON,01073
AL,010104,JEFFERSON,01073
AL,010108,AUTAUGA,01001
AL,010110,BULLOCK,01011
AL,010112,MARENGO,01091
AL,010113,MOBILE,01097
AL,010114,JEFFERSON,01073
AL,010118,DALLAS,01047
AL,010120,MONROE,01099
AL,010125,WINSTON,01133
AL,010126,PIKE,01109
AL,010128,CLARKE,01025
AL,010129,BALDWIN,01003
AL,010130,ST. CLAIR,01115
AL,010131,MADISON,01089
AL,010138,SUMTER,01119
AL,010139,JEFFERSON,01073
AL,010144,MOBILE,01097
AL,010148,CONECUH,01035
AL,010149,MONTGOMERY,01101
AL,010150,BUTLER,01013
AL,010157,COLBERT,01033
AL,010158,FRANKLIN,01059
AL,010164,TALLADEGA,01121
AL,010168,RUSSELL,01113
AL,010169,ESCAMBIA,01053
AL,010173,CHILTON,01021
AL,010174,CLARKE,01025
AL,010175,CHAMBERS,01017
AL,011300,WASHINGTON,01129
AL,011302,FRANKLIN,01059
AL,011304,CHOCTAW,01023
AL,011305,BLOUNT,01009
AL,011306,RANDOLPH,01111
AL,013300,JEFFERSON,01073
AL,013301,MOBILE,01097
AL,014000,JEFFERSON,01073
AL,014006,ETOWAH,01055
AL,014007,TUSCALOOSA,01125
AL,014012,TUSCALOOSA,01125
AL,014014,MOBILE,01097
AL,014015,CRENSHAW,01041
AL,014016,CULLMAN,01043
AL,014017,BALDWIN,01003
AL,014018,MADISON,01089
AK,020001,ANCHORAGE,02020
AK,020006,MATANUSKA-SUSITNA,02170
AK,020008,JUNEAU,02110
AK,020012,FAIRBANKS NORTH STAR,02090
AK,020017,ANCHORAGE,02020
AK,020018,BETHEL,02050
AK,020024,KENAI PENINSULA,02122
AK,020026,ANCHORAGE,02020
AK,02013F,ANCHORAGE,02020
AK,02014F,FAIRBANKS NORTH STAR,02090
AK,021301,VALDEZ-CORDOVA,02261
AK,021302,KENAI PENINSULA,02122
AK,021304,PETERSBURG BOROUGH,02280
AK,021305,WRANGELL CITY AND BOROUGH,02280
AK,021306,KODIAK ISLAND BOROUGH,02150
AK,021307,VALDEZ-CORDOVA,02261
AK,021308,NOME,02180
AK,021309,DILLINGHAM,02070
AK,021310,NORTHWEST ARTIC BOROUGH,02188
AK,021311,KETCHIKAN GATEWAY,02130
AK,021312,NORTH SLOPE BOROUH,02185
AK,021313,KENAI PENINSULA,02122
AK,021314,SITKA BOROUGH,02220
AK,024001,ANCHORAGE,02020
AK,024002,ANCHORAGE,02020
AZ,030002,MARICOPA,04013
AZ,030006,PIMA,04019
AZ,030007,YAVAPAI,04025
AZ,030010,PIMA,04019
AZ,030011,PIMA,04019
AZ,030012,YAVAPAI,04025
AZ,030013,YUMA,04027
AZ,030014,MARICOPA,04013
AZ,030016,PINAL,04021
AZ,030022,MARICOPA,04013
AZ,030023,COCONINO,04005
AZ,030024,MARICOPA,04013
AZ,030030,MARICOPA,04013
AZ,030036,MARICOPA,04013
AZ,030037,MARICOPA,04013
AZ,030038,MARICOPA,04013
AZ,030043,COCHISE,04003
AZ,030055,MOHAVE,04015
AZ,030061,MARICOPA,04013
AZ,030062,NAVAJO,04017
AZ,030064,PIMA,04019
AZ,030065,MARICOPA,04013
AZ,030069,MOHAVE,04015
AZ,030071,APACHE,04001
AZ,030073,COCONINO,04005
AZ,030074,PIMA,04019
AZ,030077,GILA,04007
AZ,030078,MARICOPA,04013
AZ,030083,MARICOPA,04013
AZ,030084,APACHE,04001
AZ,030085,PIMA,04019
AZ,030087,MARICOPA,04013
AZ,030088,MARICOPA,04013
AZ,030089,MARICOPA,04013
AZ,030092,MARICOPA,04013
AZ,030093,MARICOPA,04013
AZ,030094,MARICOPA,04013
AZ,030101,MOHAVE,04015
AZ,030103,MARICOPA,04013
AZ,030105,MARICOPA,04013
AZ,030107,MARICOPA,04013
AZ,030108,MARICOPA,04013
AZ,030110,MARICOPA,04013
AZ,030111,PIMA,04019
AZ,030112,MARICOPA,04013
AZ,030113,NAVAJO,04017
AZ,030114,PIMA,04019
AZ,030115,MARICOPA,04013
AZ,030117,MOHAVE,04015
AZ,030119,MARICOPA,04013
AZ,030121,MARICOPA,04013
AZ,030122,MARICOPA,04013
AZ,030123,MARICOPA,04013
AZ,030130,PINAL,04021
AZ,030131,MARICOPA,04013
AZ,030134,PINAL,04021
AZ,030136,MARICOPA,04013
AZ,030137,PIMA,04019
AZ,030138,MARICOPA,04013
AZ,030139,MARICOPA,04013
AZ,030146,MARICOPA,04013
AZ,030147,MARICOPA,04013
AZ,030148,PIMA,04019
AZ,031300,MARICOPA,04013
AZ,031301,COCHISE,04003
AZ,031302,COCHISE,04003
AZ,031304,COCONINO,04005
AZ,031305,NAVAJO,04017
AZ,031307,LAPAZ,04012
AZ,031308,PINAL,04021
AZ,031309,APACHE,04001
AZ,031311,NAVAJO,04017
AZ,031312,COCHISE,04003
AZ,031313,SANTA CRUZ,04023
AZ,031314,GILA,04007
AZ,031315,APACHE,04001
AZ,031317,LAPAZ,04012
AZ,031318,GILA,04007
AZ,033302,MARICOPA,04013
AZ,034004,MARICOPA,04013
AZ,034013,MARICOPA,04013
AZ,034020,MARICOPA,04013
AZ,034021,MARICOPA,04013
AZ,034022,PIMA,04019
AZ,034023,COCONINO,04005
AZ,034024,MARICOPA,04013
AZ,034025,YAVAPAI,04025
AZ,034026,MARICOPA,04013
AZ,034027,NAVAJO,04017
AZ,034028,MARICOPA,04013
AZ,034029,MARICOPA,04013
AZ,034030,PIMA,04019
AZ,034031,MARICOPA,04013
AZ,034032,MARICOPA,04013
AZ,034033,PIMA,04019
AZ,034034,MARICOPA,04013
AZ,034035,MARICOPA,04013
AR,040001,BENTON,05007
AR,040002,JOHNSON,05071
AR,040004,WASHINGTON,05143
AR,040007,PULASKI,05119
AR,040010,BENTON,05007
AR,040011,YELL,05149
AR,040014,WHITE,05145
AR,040015,POLK,05113
AR,040016,PULASKI,05119
AR,040017,BOONE,05009
AR,040018,CRAWFORD,05033
AR,040019,ST. FRANCIS,05123
AR,040020,CRAIGHEAD,05031
AR,040022,WASHINGTON,05143
AR,040026,GARLAND,05051
AR,040027,BAXTER,05005
AR,040029,FAULKNER,05045
AR,040036,PULASKI,05119
AR,040039,GREENE,05055
AR,040041,POPE,05115
AR,040047,RANDOLPH,05121
AR,040050,OUACHITA,05103
AR,040051,DREW,05043
AR,040055,SEBASTIAN,05131
AR,040062,SEBASTIAN,05131
AR,040067,COLUMBIA,05027
AR,040069,MISSISSIPPI,05093
AR,040071,JEFFERSON,05069
AR,040072,ARKANSAS,05001
AR,040074,PULASKI,05119
AR,040076,HOT SPRING,05059
AR,040078,GARLAND,05051
AR,040084,SALINE,05125
AR,040085,PHILLIPS,05107
AR,040088,UNION,05139
AR,040114,PULASKI,05119
AR,040118,CRAIGHEAD,05031
AR,040119,INDEPENDENCE,05063
AR,040132,GARLAND,05051
AR,040134,PULASKI,05119
AR,040137,PULASKI,05119
AR,040147,PULASKI,05119
AR,040152,WASHINGTON,05143
AR,040153,HEMPSTEAD,05057
AR,040154,FAULKNER,05045
AR,040156,CRITTENDEN,05035
AR,040161,SALINE,05125
AR,041300,LOGAN,05083
AR,041302,YELL,05149
AR,041303,FRANKLIN,05047
